site,crs,fin_year,footfall,days,modelled_usage,concourse_multiplier
Liverpool Street,LST,2023-24,174899923,366,94499824.0,1.850796282964506
Paddington,PAD,2023-24,90949146,366,66859098.0,1.3603106939911154
Waterloo,WAT,2023-24,162299655,366,62525274.0,2.595744802333853
Victoria,VIC,2023-24,76714967,366,50829676.0,1.5092554790237105
London Bridge,LBG,2023-24,136016961,366,50045010.0,2.7178925731056904
Euston,EUS,2023-24,90614980,366,36185290.0,2.5041938312502126
Birmingham New Street,BHM,2023-24,102725308,366,33335376.0,3.0815704013658043
Manchester Piccadilly,MAN,2023-24,71215403,366,25776162.0,2.76283967333849
Glasgow Central,GLC,2023-24,62345885,366,24964246.0,2.4974070917263034
Leeds,LDS,2023-24,51321371,366,24891386.0,2.06181250815041
King's Cross,KGX,2023-24,93597753,366,24483826.0,3.8228401476141842
Edinburgh Waverley,EDB,2023-24,60142098,366,21307916.0,2.822523704335985
Charing Cross,CHX,2023-24,49555548,365,17701302.0,2.7995425421248674
Reading,RDG,2023-24,41822370,366,13490220.0,3.100199255460623
Liverpool Lime Street,LIV,2023-24,31837374,366,12278888.0,2.5928548252903685
Bristol Temple Meads,BRI,2023-24,20689288,366,10227188.0,2.0229693636217503
Cannon Street,CST,2023-24,19836895,366,7101938.0,2.7931664568178434
Guildford,GLD,2023-24,7072630,366,5883734.0,1.2020648792076596
