year,event_time,coef,se,ci_lo,ci_hi,phase
2004,-17,-0.05651673904602358,0.1812039772011207,-0.41167000821563715,0.29863653012359004,pre
2005,-16,-0.06121375506455423,0.16888017776473188,-0.39221282118615075,0.2697853110570423,pre
2006,-15,-0.103440754857439,0.17362127612539208,-0.44373220301309146,0.23685069329821343,pre
2007,-14,-0.08422590509856419,0.16401984776334064,-0.40569889946445437,0.23724708926732596,pre
2008,-13,-0.08271637711461234,0.15227387376925383,-0.3811676854887483,0.21573493125952364,pre
2009,-12,-0.0634440788022459,0.1502896637493908,-0.3580064069996868,0.23111824939519499,pre
2010,-11,-0.07975918422763581,0.1427266697067042,-0.35949831648611996,0.19997994803084837,pre
2011,-10,-0.12483535139462912,0.11955114389177698,-0.3591512877330777,0.10948058494381943,pre
2012,-9,-0.10941332469543397,0.10973571989650542,-0.32449138351016005,0.10566473411929209,pre
2013,-8,-0.09802279698952468,0.0930768508607826,-0.2804500724710645,0.08440447849201516,pre
2014,-7,-0.09958298620355516,0.08553768634335572,-0.267233770757416,0.06806779835030569,pre
2015,-6,-0.0986972467446626,0.07793149939658126,-0.2514401788231668,0.0540456853338416,pre
2016,-5,-0.07834425169049847,0.06792685444307633,-0.21147843998202262,0.054789936601025685,pre
2017,-4,-0.02436460088795019,0.05671878761360016,-0.13553138185738303,0.08680218008148266,pre
2018,-3,-0.007240663315227008,0.023419508337165457,-0.05314205619170683,0.03866072956125282,pre
2019,-2,0.0,0.0,0.0,0.0,ref
2020,-1,-0.15163479222035997,0.1449420758582328,-0.4357160407469687,0.13244645630624874,pre
2021,0,-0.005381436723054381,0.07700638782399884,-0.15631118343761585,0.14554830999150709,post
2022,1,0.04077931731679627,0.053081137973302724,-0.0632578013692785,0.14481643600287106,post
2023,2,0.049764022231028486,0.043289374229227275,-0.03508159217153333,0.1346096366335903,post
2024,3,0.05853281579474534,0.06290979584792583,-0.06476811834195673,0.1818337499314474,post
