city,2018,2019,2020,2021,2022,2023,2024
Birmingham New Street,3619072.0,3507956.0,557264.0,1673540.0,2607216.0,2862026.0,2978312.0
Bristol Temple Meads,1459738.0,1442982.0,233074.0,953606.0,1471588.0,1517128.0,1530804.0
Cardiff Central,754126.0,774606.0,87776.0,511224.0,814708.0,874606.0,893682.0
Darlington,374898.0,347048.0,63828.0,363954.0,431908.0,467038.0,677582.0
Doncaster,722402.0,698494.0,122392.0,726616.0,781284.0,839928.0,1059914.0
Edinburgh,1387856.0,1389514.0,174290.0,1314154.0,2057376.0,2114502.0,2326252.0
Glasgow Central,712586.0,730278.0,71102.0,429526.0,609138.0,734620.0,770632.0
Leeds,2031372.0,1889310.0,242378.0,1272372.0,1897350.0,1867770.0,2182094.0
Liverpool Lime Street,1693010.0,1948758.0,227126.0,1091780.0,1443182.0,1682172.0,1858876.0
Manchester Piccadilly,3937820.0,3812278.0,464446.0,1946170.0,2984758.0,3358716.0,3624252.0
Morpeth,40594.0,39034.0,4684.0,27762.0,49562.0,55094.0,69138.0
Newcastle,1336552.0,1226942.0,194004.0,1077588.0,1490596.0,1466412.0,1609804.0
Nottingham,1195088.0,1114098.0,167536.0,581344.0,1102484.0,1069210.0,1152312.0
Sheffield,956452.0,927936.0,118044.0,481560.0,855980.0,967454.0,987396.0
Stevenage,2708050.0,2584220.0,524666.0,1643594.0,2054952.0,2224224.0,2478748.0
York,1432858.0,1337618.0,191428.0,1001470.0,1429394.0,1516054.0,1821616.0
